Episode,Reward,Length,TD_Error
245,-821.0,200,184.68079022
246,-803.0,200,178.497299242
247,-767.0,200,184.49634632091755
248,-785.0,200,106.08141809077881
249,-857.0,200,196.44035139893333
250,-830.0,200,166.20808478829252
251,-623.0,200,97.47106843851213
252,-767.0,200,99.02319990388554
253,-812.0,200,129.24728165942065
254,-758.0,200,208.50502364367105
255,-821.0,200,183.77391512342825
256,-866.0,200,260.12575595366076
257,-794.0,200,238.84510309304167
258,-803.0,200,212.4085742495285
259,-722.0,200,205.53573822214835
260,-767.0,200,106.12969110333074
261,-749.0,200,103.42705841619068
262,-740.0,200,97.465943146408
263,-785.0,200,171.61599118791247
264,-794.0,200,213.73891824282077
265,-785.0,200,189.11014658574294
266,-839.0,200,205.46934969034788
267,-767.0,200,164.5375220969388
268,-794.0,200,110.09414014797395
269,-776.0,200,158.27528050992237
270,-839.0,200,162.29766394189852
271,-821.0,200,121.91820275285295
272,-857.0,200,178.9964358504704
273,-839.0,200,130.97650596771638
274,-507.0,114,48.81047840257844
275,-712.0,184,152.2129061488011
276,-704.0,200,151.83154718436617
277,-839.0,200,127.00722857945755
278,-821.0,200,115.81746798958068
279,-695.0,200,146.6560033472762
280,-749.0,200,174.8623288196558
281,-812.0,200,124.84915000989272
282,-758.0,200,111.60715892316313
283,-686.0,200,92.83050828686683
284,-704.0,200,113.50847117817997
285,-821.0,200,201.87390925110492
286,-749.0,200,167.23451442180385
287,-623.0,200,98.5842875947452
288,-776.0,200,86.58315412355421
289,-731.0,200,130.77286922153849
290,-722.0,200,236.1577856820739
291,-857.0,200,293.03651566945905
292,-749.0,200,135.98270582531305
293,-794.0,200,172.14129498538915
294,-650.0,167,133.32938601381153
295,-776.0,200,129.64043820793364
296,-749.0,200,154.38302000000002
297,-776.0,200,144.07151108849365
298,-821.0,200,168.14276822906425
299,-821.0,200,163.4639031898703
300,-713.0,200,111.16332109057561
301,-767.0,200,104.74805420696185
302,-812.0,200,120.07042280696191
303,-758.0,200,126.52723727494117
304,-830.0,200,142.20457411389867
305,-866.0,200,105.38493951114026
306,-821.0,200,120.19358391588253
307,-794.0,200,189.41899719493193
308,-812.0,200,125.03186665003079
309,-848.0,200,140.38544689657795
310,-713.0,200,158.34089187563217
311,-929.0,200,213.02548676709227
312,-758.0,200,132.91717916693693
313,-893.0,200,195.5408139508644
314,-830.0,200,150.775141558871
315,-767.0,200,140.16559773440105
316,-821.0,200,137.347699838707
317,-785.0,200,174.94771733735746
318,-758.0,200,151.5238891603267
319,-767.0,200,223.91388687460784
320,-839.0,200,179.01141369190333
321,-758.0,200,138.99132229743043
322,-866.0,200,200.83584444453322
323,-839.0,200,163.65943327831258
324,-803.0,200,102.33488405143476
325,-803.0,200,101.40950026330319
326,-383.0,107,60.025257493513436
327,-722.0,200,121.02701906869339
328,-731.0,200,128.26147434249214
329,-758.0,200,119.07421644381805
330,-857.0,200,207.21129923432449
331,-794.0,200,99.61846203260814
332,-794.0,200,97.60640829959522
333,-776.0,200,164.73484776137332
334,-598.0,160,140.57272864903757
335,-758.0,200,112.93384256839585
336,-740.0,200,174.3157285821215
337,-713.0,200,116.33561099967613
338,-848.0,200,231.11730774431385
339,-848.0,200,234.67068484613952
340,-310.0,97,47.31646749193794
341,-686.0,200,99.98536783074269
342,-848.0,200,168.86830281555865
343,-857.0,200,202.5866324806043
344,-162.0,66,100.85144369219813
345,-767.0,200,90.50176783727835
346,-758.0,200,188.10096277985735
347,-848.0,200,195.9255344562988
348,-776.0,200,95.13883269452947
349,-132.0,36,58.63492971840526
350,-794.0,200,186.879881752451
351,-776.0,200,118.75650763264628
352,-680.0,188,169.42659332271262
353,-794.0,200,115.59607667139244
354,-785.0,200,171.43827841257405
355,-848.0,200,227.1252291376037
356,-740.0,200,117.58165105775078
357,-722.0,200,86.24695303650265
358,-767.0,200,125.56402986138798
359,-839.0,200,118.8163155114251
360,-794.0,200,181.36624403231588
361,-794.0,200,91.76661525858094
362,-776.0,200,166.12318998893488
363,-830.0,200,216.53063438301183
364,-740.0,200,151.77782679865243
365,-758.0,200,110.2131254555485
366,-803.0,200,106.23276078450971
367,-659.0,200,102.81230973764849
368,-749.0,200,174.09989458713903
369,-785.0,200,157.40301390640212
370,-758.0,200,113.88734220420548
371,-199.0,67,52.13508923269387
372,-839.0,200,157.7480928478023
373,-803.0,200,148.8568629405283
374,-695.0,200,114.04361453383484
375,-740.0,200,107.60455907235769
376,-821.0,200,103.32066812141335
377,-767.0,200,145.1117073010593
378,-857.0,200,181.72559279181098
379,-767.0,200,130.55935230961046
380,-830.0,200,139.29787230659196
381,-731.0,200,152.18707208925463
382,-713.0,200,105.9867442504177
383,-812.0,200,129.1731872769975
384,-821.0,200,167.3488063209042
385,-812.0,200,154.30010267038335
386,-848.0,200,131.80744523145074
387,-749.0,200,88.12097317322127
